BOM,Ind Model,HQ Model,Ind ODF,HQ ODF,Project ID,Software Version,Panel,MB,Chassis,PSU,RC,MODULE Panel,（L)/LB,（R)/LB,WIFI BOARD,BLUEE TOOTH,TOP Panel SPONGE STRIPE,L&R Panel SPONGE STRIPE,"
DR",CAMERA(ON TOP EPS),LVDS CABLE-L,LVDS CABLE-R,FFC CABLE(L&R),Stand Base-L,Stand Base-R,Package,增亮片(BRIGHTENER),增亮片(BRIGHTENER),反射片,
H7-HB261NAL-ID0,L32B2610,32B2610,,,OLD,,4A-LCD32O-CS2,T8-32APAL-MA1,RT49S-AP,81-PBE032-G03,06-520W37-T002X,T8-32B2610-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-60HA40-AAB01G,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-24E35R9-IDNB0AA,L24E3500,24E3500,,,OLD,,4A-LCD24O-CM4GTA,08-S82MT04-MA200AA,MS82MT-AP,81-ES282C1-PL290AA,06-520W37-T003X,08-24E3500-LPM002A,4C-LB2432-ZM1,NO,NO,NO,NO,NO,NO,NO,46-ZZ018C-30Z01G,NO,NO,,,,,,,
H7-XB261NAL-ID0,L40B2610,39B2610,,,OLD,,4A-LCD39O-CM3,T8-39APAL-MA1,RT49S-AP,81-PBE039-G01,06-520W37-T002X,T8-39B2610-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60FC50-CFB01G,NO,NO,,,,,,,
H7-28E42NKG-ID0,L29E4200,28E4200,,,OLD,,4A-LD28O5-CS4GTA,T8-28APKG-MA7 (02-SHY82P-CFAP08T),MS82PT-AP,NO,06-520W37-F001X,T8-28E4200-LPM1,4C-LB280T-YH2,NO,NO,NO,NO,NO,NO,NO,46-ZZ575C-60ZG,NO,NO,,,,,,,
H7-48F33P6-IDNA0AA,L48F3390,48F3390,,,OLD,,4A-LCD48O-SS4GTA,08-MS80109-MA200AA,MS801-AP,81-PE371C5-PL290AB,06-013W37-BR260,08-48F3390-LPM001A,4C-LB4808-YH3,NO,NO,NO,NO,NO,NO,NO,46-60FA45-BFB01G,NO,NO,,,,,,,
H7-23D32N5-IDNE0AA,L23D3200,23D3200,,,OLD,,4A-LCD23E-SS4GTA,08-MT27C03-MA200AA,MT27CH-AP,81-ES231C5-PL290AA,06-RC3000M-RM2A5AA,4A-LCD23E-SS4GTA,,NO,NO,NO,NO,NO,NO,NO,46-ZZ016C-30Z02G,NO,NO,,,,,,,
H7-HB261NAL-ID0,L32B2610,32B2610,,,OLD,,4A-LCD32O-CS2,T8-32APAL-MA1,RT49S-AP,81-PBE032-G03,06-520W37-T002X,T8-32B2610-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-60HA40-AAB01G,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-XB260NK8-ID0A,L40B2600,39B2600,,,OLD,,4A-LD39O5-AU5GTA,T8-39APK8-MA13,MS82L-AP,81-PBE039-G01,06-520W37-B002X,T8-39B2600-LPM2,4C-LB390T-YHAL,NO,NO,NO,NO,NO,NO,NO,46-60HA55-AAB01G,NO,NO,,,,,,,
H7-ID20N7W-ID0A,L17D20B,16D20,,,OLD,,4A-LCD16E-CM1,T8-16AP7W-MA3,MS82C-AP,81-ADT1225-PW3,06-529W34-A002X,4A-LCD16E-CM1,,NO,NO,NO,NO,NO,NO,NO,46-ZZ042G-CM0BG,NO,NO,,,,,,,
H7-DB260NKU-ID0,L24B2600,23B2600,,,OLD,,4A-LD23O7-SS1GTA,"T8-23APKU-MA2
（02-SHY82P-CYAP04）",MS82P-AP,NO,06-520W37-B002X,T8-23B2600-LPM1,4C-LB230T-HQ1,NO,NO,NO,NO,NO,NO,NO,46-60HA45-AAB01G,NO,NO,,,,,,,
H7-HB262NKG-ID0,L32B2620,32B2620,,,OLD,,4A-LD32OF-CS9GTA,"T8-32APKG-MA5
（02-SHY82P-CHAP02T）",MS82PT-AP,NO,06-520W37-B002X,T8-32B2620-LPM1,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
H7-28E35R9-IDND0AA,L29E3500,28E3500,,,OLD,,4A-LCD28O-CS3GTA,08-S82MT05-MA200AA,MS82MT-AP,81-ES282C1-PL290AA,06-520W37-T003X,08-28E3500-LPM003A,4C-LB2836-ZM1,NO,NO,NO,NO,NO,NO,NO,46-YY018C-60Z02G,NO,NO,,,,,,,
H7-HB260NKG-ID0,L32B2600,32B2600,,,OLD,,4A-LD32OF-CS9GTA,T8-32APKG-MA5（02-SHY82P-CHAP02T）,MS82PT-AP,NO,06-520W37-B002X,T8-32B2600-LPM4,4C-LB320T-DS2,NO,NO,NO,NO,NO,NO,NO,46-ZZ565C-60ZG,NO,NO,,,,,,,
